taxa_name	pectoral_fin
Nagaichthys_filipes	1
Tharsis	1
Parasudis_truculenta	1
Channidae	1
Paraliparis_bathybius	1
Astroblepus_boulengeri	1
Osteoglossidae	1
Tatia_gyrina	1
Loricariichthys_sp._Schaefer_1987	1
Pholidophorus_bechei	1
Cetopsis_orinoco	1
Gagata_cenia	1
Astyanax_mexicanus	1
Amblyopsis_rosae	1
Chasmocranus_chimantanus	1
Notropis_braytoni	1
Hozukius_guyotensis	1
Netuma_bilineata	1
Cyttomimus_stelgis	1
Silurichthys_phaiosoma	1
Brachymystax_lenok	1
Pseudopimelodus_schultzi	1
Kneria_katangae	1
Rhamdia_quelen	1
Lipopterichthys_sp._Britto_2003	1
Rhamdella_longiuscula	1
Patagonotothen	1
Dekeyseria_niveata	1
Corydoras_trilineatus	1
Corydoras_ehrhardti	1
Oryzias_curvinotus	1
Allocyttus_niger	1
Pseudobagrus_microps	1
Phenacobius_teretulus	1
Rasbora_spilocerca	1
Scophthalmus_aquosus	1
Cetopsidae	1
Gorgasia	0
Imparfinis_sp._n._Bockman_1998	1
Psednos_micruroides	1
Muraenesocidae	1
Arnoldichthys_spilopterus	1
Ariopsis_latirostris	1
Hypostomus_emarginatus_2_Armbruster_2004	1
Agoniates_anchovia	1
Glanapteryx_anguilla	1
Pelteobagrus_eupogon	1
Pogonichthys_macrolepidotus	1
Mystus_bocourti	1
Mastacembelus_micropectus	1
Tribolodon	1
Corydoras_hastatus	1
Phenacobius_crassilabrum	1
Hybopsis_rubrifrons	1
Ictalurus_sp._Mo_1991	1
Ictalurus_furcatus	1
Aspistor_hardenbergi	1
Luxilus_coccogenis	1
Leptoscopidae	1
Citharoides_macrolepidotus	1
Liobagrus_cf._marginatus_Mo_1991	1
Dekeyseria_scaphirhyncha	1
Microlepidogaster_sp._Armbruster_2004	1
Gladioglanis_conquistador	1
Liparis_pulchellus	1
Synodus_synodus	1
Sciades_emphysetus	1
Neoplecostomus_sp._Britto_2003	1
Gymnotus_anguillaris	1
Mola_mola	1
Anaspidoglanis_macrostomus	1
Mastacembelus_frenatus	1
Zenion_hololepis	1
Ophisternon_aenigmaticum	0
Moringuidae	0
Speoplatyrhinus_poulsoni	1
Denticetopsis_praecox	1
Astroblepidae	1
Hemitremia_flammea	1
Enchodus_marchesettii	1
Forbesichthys_agassizii	1
Hydrocynus_brevis	1
Schilbe_laticeps	1
Franciscodoras	1
Gyrinocheilus_sp._Fink_and_Fink_1981	1
Lamprogrammus_shcherbachevi	1
Corydoras_arcuatus	1
Thermobiotes_mytilogeiton	0
Chiloglanis_carnosus	1
Rhinoliparis_barbulifer	1
Nannostomus_unifasciatus	1
Akysis_sp._2_Chen_1994	1
Notopteridae	1
Heptapterus_sympterygium	1
Comephoridae	1
Microsynodontis_emarginata	1
Danio_erythromicron	1
Enchodus_brevis	1
Grundulus_bogotensis	1
Chionodraco_hamatus	1
Eutropiichthys_vacha	1
Synodontis_njassae	1
Synodontis_nigrita	1
Remora_australis	1
Akysis_sp._3_de_Pinna_1996	1
Chaenodraco_wilsoni	1
Cetopsorhamdia_iheringi	1
Chaetostoma_fischeri	1
Pseudobagrus_ransonnettii	1
Limatulichthys_sp._Britto_2003	1
Thrissops_cf._T._subovatus_Arratia_1999	1
Chionodraco_rastrospinosus	1
Nemapteryx_augusta	1
Rhinelepis_aspera	1
Scoloplax_dolicholophia	1
Mastacembelus_ellipsifer	1
Ptychocheilus_grandis	1
Microlepidogaster_sp._Schaefer_1991	1
Channallabes_apus	0
Hypostomus_sp._round_snout_1_Armbruster_2004	1
