taxa_name	pectoral fin	
Chiloglanis sp. G (Vigliotta 2008)	1	
Notropis sp. "sawfin shiner" (Coburn and Cavender 1992)	1	
Mola mola	1	
Serrasalmus rhombeus	1	
Rosenblattichthys hubbsi	1	
Margariscus	1	
Panaque nigrolineatus	1	
Ahliesaurus berryi	1	
Ancistrus stigmaticus	1	
Chiloglanis occidentalis	1	
Schilbe intermedius	1	
Hypoptopoma sp. (Schaefer 1991)	1	
Oryzias luzonensis	1	
Opisthopterus equatorialis	1	
Auchenoglanis occidentalis	1	
Paradistichodus dimidiatus	1	
Careproctus melanurus	1	
Balistidae	1	
Alabes parvula	0	
Salmo sp. (Fink and Fink 1981)	1	
Masturus lanceolatus	1	
Hypoptopoma sp. (Britto 2003)	1	
Oryzias marmoratus	1	
Leptoscopidae	1	
Trachelyichthys n. sp 1 (Royero 1999)	1	
Eurypleuron	1	
Euchilichthys dybowskii	1	
Gnathobagrus depressus	1	
Synodontis contracta	1	
Horiomyzon retropinnatus	1	
Benthalbella elongata	1	
Cyprinella zanema	1	
Cetopsis orinoco	1	
Stromateidae	1	
Belonion apodion	1	
Oligancistrus punctatissimus	1	
Otocinclus vittatus	1	
Corymbophanes kaiei	1	
Silurus mento	1	
Dekeyseria niveata	1	
Desmodema lorum	1	
Taunayia bifasciata	1	
Parailia pellucida	1	
Moenkhausia lepidura	1	
Atopochilus savorgnani	1	
Ogilbyina	1	
Grammicolepididae	1	
Arius africanus	1	
Hypoptopoma sp. (Armbruster 2004)	1	
Centrodoras sp. (Vigliotta 2008)	1	
Rhabdolichops troscheli	1	
Silurus grahami	1	
Barbus callensis	1	
Sturisoma festivum	1	
Cetopsis plumbea	1	
Scopelarchus analis	1	
Squaliforma squalina	1	
Xenolepidichthys dalgleishi	1	
Diceratiidae	1	
Pygidianops eigenmanni	1	
Netuma thalassina	1	
Rhamdiopsis microcephala	1	
Aspidoras microgalaeus	1	
Silurus lithophilus	1	
Cetopsis pearsoni	1	
Parachaenichthys charcoti	1	
Pseudeutropius mitchelli	1	
Acanthocharax microlepis	1	
Pterodoras rivasi	1	
Cetopsis baudoensis	1	
Distocyclus conirostris	1	
Grammicolepis brachiusculus	1	
Pseudancistrus sp. (Armbruster 2004)	1	
Monopterus cuchia	0	
Silurus soldatovi	1	
Netuma bilineata	1	
Pterodoras sp. (Kailola 2004)	1	
Cetopsis motatanensis	1	
Parazenidae	1	
Cetopsis oliveirai	1	
Heterotis	1	
Labridae	1	
Oryzias matanensis	1	
Channallabes apus	0	
Semotilus corporalis	1	
Pimelodus maculatus	1	
Schizodon fasciatus	1	
Aspredinichthys tibicen	1	
Monopterus boueti	0	
Oryzias curvinotus	1	
Brachyrhamdia imitator	1	
Cetopsis arcana	1	
Hara jerdoni	1	
Platytroctidae	1	
Thymallus arcticus	1	
Micralestes eburneensis	1	
Plicofollis polystaphylodon	1	
cf. Arius macrorhynchus (Kailola 2004)	1	
Hypsidoris farsonensis	1	
Pseudancistrus orinoco	1	
Akysis sp. 2 (Chen 1994)	1	
Brachyrhamdia marthae	1	
Steindachnerina elegans	1	
Stylephorus chordatus	1	
Cetopsis montana	1	
Megalancistrus sp. (Schaefer 1987)	1	
Moringuidae	0	
Corydoras zygatus	1	
Pseudomystus moeschii	1	
Parauchenoglanis ahli	1	
Tautoga	1	
Hemiancistrus megacephalus	1	
Cryodraco antarcticus	1	
Tanichthys micagemmae	1	
Trachelyopterus galeatus	1	
Dupouyichthys sapito	1	
Gigantactinidae	1	
Corydoras vittatus	1	
Cynopotamus tocantinensis	1	
Noturus insignis	1	
Hypostomus emarginatus 1 (Armbruster 2004)	1	
Trachelyopterus coriaceus	1	
Amaralia n. sp. (Friel 1994)	1	
Osteoglossum bicirrhosum	1	
Chasmocranus lopezi	1	
Parapsettus panamensis	1	
Clariidae	1	
Osteogeneiosus sp. (Mo 1991)	1	
Corydoras undulatus	1	
Aspredinichthys filamentosus	1	
Pseudancistrus barbatus	1	
Chaca chaca	1	
Aspidoras albater	1	
Pseudomystus breviceps	1	
Chasmocranus chimantanus	1	
Brachyrhamdia meesi	1	
Pseudoplesiops	1	
Racenisia fimbriipinna	1	
Lophiobagrus aquilus	1	
Gymnotidae	1	
Psednos groenlandicus	1	
Opisthopterus tardoore	1	
Triodontidae	1	
Citharoides macrolepidotus	1	
Neblinichthys pilosus	1	
Oryzias sinensis	1	
Chaudhuriidae	1	
Acestrorhynchus falcirostris	1	
Snyderidia canina	1	
Limatulichthys griseus	1	
Chacidae	1	
Phyllonemus filinemus	1	
Hozukius guyotensis	1	
Psednos melanocephalus	1	
Ranzania laevis	1	
Champsodontidae	1	
Opisthopterus dovii	1	
Bryconamericus iheringii	1	
Neblinichthys roraima	1	
Pareiorhina sp. (Armbruster 2004)	1	
Astroblepus boulengeri	1	
Psednos micruroides	1	
Citharus linguatula	1	
Chiloglanis niloticus	1	
Schistura spilota	1	
Cobitis takatsuensis	1	
Sternopygus macrurus	1	
Pareiorhina sp. (Britto 2003)	1	
Oxycheilinus orientalis	1	
Chiloglanis congicus	1	
Lophiobagrus cyclurus	1	
Pagetopsis macropterus	1	
Cyprinella whipplei	1	
Opisthopterus effulgens	1	
Brachymystax lenok	1	
Triodon macropterus	1	
Algansea popoche	1	
Oryzias sarasinorum	1	
Erethistes pusillus	1	
Glyptothorax sp. (Friel 1994)	1	
Gymnarchus niloticus	1	
Sorubim lima	1	
Parauchenoglanis altipinnis	1	
Onuxodon	1	
Astroblepus sp. (Fink and Fink 1981)	1	
Brachionichthyidae	1	
Micralestes sp. (Zanata and Vari 2005)	1	
Oryzias hubbsi	1	
Corydoras nanus	1	
Schistura breviceps	1	
Pseudomystus rugosus	1	
Parauchenoglanis monkei	1	
Panaque sp. (Friel 1994)	1	
Auchenipterichthys longimanus	1	
Yunnanilus pleurotaenia	1	
Oryzias dancena	1	
Semotilus atromaculatus	1	
Neopagetopsis ionah	1	
Schilbidae	1	
Carapus	1	
Rasbora vaterifloris	1	
Oryzias profundicola	1	
Citharinus gibbosus	1	
Tetranematichthys quadrifilis	1	
Champsocephalus gunnari	1	
Lavinia exilicauda	1	
Corydoras napoensis	1	
Nemapteryx armiger	1	
Polymixia lowei	1	
Oxycheilinus mentalis	1	
Distichodus sp. (Fink and Fink 1981)	1	
Leiocassis poecilopterus	1	
Hemiodus unimaculatus	1	
Pseudeutropius brachypopterus	1	
Xiphias gladius	1	
Trichomycterus brasiliensis	1	
Mastacembelus tanganicae	1	
Brycinus sadleri	1	
Cetomimidae	1	
Genus 11 sp. (Bockmann 1998)	1	
Vomeridens infuscipinnis	1	
Lasiancistrus guacharote	1	
Distichodus maculatus	1	
Hemiodus sp. (Fink and Fink 1981)	1	
Corydoras ornatus	1	
Gilbertolus atratoensis	1	
Nedystoma dayi	1	
Demissolinea novaeguineensis	1	
Rhabdolichops electrogrammus	1	
Mastacembelus platysoma	1	
Lasiancistrus sp. (Armbruster 2004)	1	
Cephalosilurus fowleri	1	
Enchodus venator	1	
Phallostethidae	1	
Trichomycterus zonatus	1	
Nedystoma novaeguineae	1	
Brycinus leuciscus	1	
Trichomycterus reinhardti	1	
Mastacembelus flavidus	1	
Gymnodraco acuticeps	1	
Pseudeutropius moolenburghae	1	
Mochokidae	1	
Pseudopimelodus sp. (Friel 1994)	1	
Leiocassis micropogon	1	
Pseudancistrus sp. gold spot (Armbruster 2004)	1	
Enchodus marchesettii	1	
Careproctus cypselurus	1	
Synodontis notata	1	
Ailia coila	1	
Cetopsis fimbriata	1	
Nemacheilus fasciatus	1	
Forbesichthys agassizii	1	
Diplomystidae	1	
Papyrocranus congoensis	1	
Phreatobius cisternarum	1	
Pterodoras granulosus	1	
Distichodus notospilus	1	
Pseudorinelepis genibarbis	1	
Synodontis angelica	1	
Zaireichthys rotundiceps	1	
Chaetostoma anomalum	1	
Silonia silondia	1	
Leptorhamdia sp. (Bockmann 1998)	1	
Plotosus anguillaris	1	
Saurida brasiliensis	1	
Zaireichthys sp. A (Vigliotta 2008)	1	
Pseudopimelodus schultzi	1	
Parona signata	1	
Lasiancistrus caucanus	1	
Pterodoras sp. (Royero 1999)	1	
Leptorhamdia marmorata	1	
Cnidoglanis sp. (Mo 1991)	1	
Synodontis albolineata	1	
Leptodoras sp. (Friel 1994)	1	
Agosia chrysogaster	1	
Cetopsidium morenoi	1	
Akysis sp. 2 (de Pinna 1996)	1	
Labrus	1	
Rhinodoras sp. (Vigliotta 2008)	1	
Cetopsidium ferreirai	1	
Aphanotorulus ammophilus	1	
Engraulis encrasicolus	1	
Bagroides melapterus	1	
Brycinus intermedius	1	
Alepisaurus ferox	1	
Laides hexanema	1	
