taxa_name	pectoral_fin	pectoral_fin_inferred	pectoral_fin_propagated
Notolepis annulata	1	2	1
Notolepis coatsi	1	2	1
Paralepis elongata	1	2	1
Paralepis brevirostris	1	2	0
Paralepis speciosa	1	2	1
Paralepis coregonoides	1	2	0
Odontostomops normalops	1	2	0
Coccorella atrata	1	2	1
Coccorella atlantica	1	2	0
Evermannella megalops	1	2	1
Evermannella ahlstromi	1	2	1
Evermannella balbo	1	2	0
Evermannella melanoderma	1	2	1
Evermannella indica	1	2	0
Stemonosudis miscella	1	2	1
Stemonosudis elegans	1	2	1
Stemonosudis distans	1	2	1
Stemonosudis gracilis	1	2	1
Stemonosudis bullisi	1	2	1
Stemonosudis intermedia	1	2	1
Stemonosudis siliquiventer	1	2	1
Stemonosudis molesta	1	2	1
Stemonosudis rothschildi	1	2	0
Stemonosudis macrura	1	2	1
Lestidiops affinis	1	2	0
Lestidiops mirabilis	1	2	1
Lestidiops gracilis	1	2	1
Lestidiops neles	1	2	1
Lestidiops similis	1	2	1
Lestidiops distans	1	2	1
Lestidiops indopacifica	1	2	1
Lestidiops extrema	1	2	1
Lestidiops bathyopteryx	1	2	1
Lestidiops cadenati	1	2	1
Lestidiops sphyraenopsis	1	2	1
Lestidiops sphyrenoides	1	2	1
Lestidiops jayakari	1	2	1
Lestidiops ringens	1	2	1
Sudis hyalina	1	2	0
Sudis atrox	1	2	0
Anotopterus pharao	1	2	0
Omosudis lowii	1	2	0
Alepisaurus ferox	1	2	0
Alepisaurus brevirostris	1	2	0
Neoscopelus macrolepidotus	1	2	0
Nannobrachium cuprarium	1	2	0
Myctophum obtusirostre	1	2	0
Myctophum affine	1	2	0
Tarletonbeania crenularis	1	2	0
Notoscopelus resplendens	1	2	0
Forbesichthys agassizii	1	1	0
Speoplatyrhinus poulsoni	1	1	0
Typhlichthys subterraneus	1	1	0
Chologaster cornuta	1	1	0
Amblyopsis rosae	1	1	0
Polymixia lowei	1	2	0
Cyttus novaezealandiae	1	2	0
Cyttus australis	1	2	0
Cyttus traversi	1	2	0
Parazen pacificus	1	2	0
Stethopristes eos	1	2	0
Cyttopsis cypho	1	2	1
Cyttopsis rosea	1	2	0
Zenopsis stabilispinosa	1	2	1
Zenopsis oblonga	1	2	1
Zenopsis conchifer	1	2	0
Zeus faber	1	2	0
Zeus capensis	1	2	1
Pseudocyttus maculatus	1	2	0
Allocyttus guineensis	1	2	1
Allocyttus folletti	1	2	1
Allocyttus verrucosus	1	2	0
Allocyttus niger	1	2	0
Oreosoma atlanticum	1	2	0
Neocyttus acanthorhynchus	1	2	1
Neocyttus rhomboidalis	1	2	0
Neocyttus helgae	1	2	1
Neocyttus psilorhynchus	1	2	1
Macrurocyttus acanthopodus	1	2	0
Grammicolepis brachiusculus	1	2	0
Xenolepidichthys dalgleishi	1	2	0
Cyttomimus stelgis	1	2	0
Capromimus abbreviatus	1	2	0
Zenion hololepis	1	2	0
Stylephorus chordatus	1	1	0
Macrouroides inflaticeps	1	1	0
Radiicephalus elongatus	1	1	0
Metavelifer multiradiatus	1	2	1
Eumecichthys fiski	1	1	0
Lophotus guntheri	1	1	1
Lophotus capellei	1	1	1
Lophotus lacepede	1	1	1
Desmodema polystictum	1	1	0
Desmodema lorum	1	1	0
Hoplostethus mediterraneus	1	2	0
Anoplogaster cornuta	1	2	0
Vitiaziella cubiceps	1	1	0
Cetomimoides parri	1	1	0
Rhamphocetichthys savagei	1	2	1
Notocetichthys trunovi	1	2	1
Cetichthys parini	1	2	1
Cetichthys indagator	1	2	1
Ditropichthys storeri	1	2	1
Danacetichthys galathenus	1	2	1
Ataxolepis apus	1	1	0
Procetichthys kreffti	1	2	1
Gyrinomimus andriashevi	1	2	1
Gyrinomimus myersi	1	2	1
Gyrinomimus parri	1	2	1
Cetomimus craneae	1	2	1
Cetomimus hempeli	1	2	1
Cetomimus compunctus	1	2	1
Cetomimus teevani	1	2	1
Cetomimus kerdops	1	2	1
Cetomimus picklei	1	2	1
Cetomimus gillii	1	2	1
Gyrinomimus grahami	1	2	1
Gyrinomimus bruuni	1	2	1
Cetostoma regani	1	2	1
Melamphaes suborbitalis	1	2	0
Centroberyx affinis	1	2	0
Sargocentron punctatissimum	1	2	0
Plectrypops lima	1	2	0
Parabrotula tanseimaru	1	2	1
Parabrotula plagiophthalma	1	2	1
Leucobrotula adipata	1	2	1
Aphyonus bolini	1	1	1
Aphyonus brevidorsalis	1	1	1
Aphyonus gelatinosus	1	1	1
Aphyonus rassi	1	1	1
Sciadonus jonassoni	1	1	1
Sciadonus pedicellaris	1	1	1
Sciadonus galatheae	1	1	1
Sciadonus cryptophthalmus	1	1	1
Meteoria erythrops	1	1	1
Parasciadonus brevibrachium	1	1	1
