taxa_name	pectoral_fin	pectoral_fin_inferred	pectoral_fin_propagated
Scolecenchelys sp. PKU 5999	?	?	?
Scolecenchelys borealis	?	?	?
Scolecenchelys gymnota	?	?	?
Scolecenchelys breviceps	?	?	?
Scolecenchelys sp. PKU 6000	?	?	?
Luthulenchelys heemstraorum	?	?	?
Leuropharus lasiops	?	?	?
Aplatophis chauliodus	?	?	?
Aplatophis zorro	?	?	?
Evips percinctus	?	?	?
Caralophia loxochila	?	?	?
Letharchus aliculatus	?	?	?
Letharchus rosenblatti	?	?	?
Letharchus velifer	?	?	?
Hemerorhinus opici	?	?	?
Hemerorhinus heyningi	?	?	?
Allips concolor	?	?	?
Malvoliophis pinguis	?	?	?
Rhinophichthus penicillatus	?	?	?
Sphagebranchus coecus	?	?	?
Caecula kuro	?	?	?
Caecula pterygera	?	?	?
Caecula cincta	?	?	?
Phyllophichthus xenodontus	?	?	?
Herpetoichthys fossatus	?	?	?
Ethadophis akkistikos	?	?	?
Ethadophis epinepheli	?	?	?
Ethadophis foresti	?	?	?
Ethadophis byrnei	?	?	?
Ethadophis merenda	?	?	?
Hyphalophis devius	?	?	?
Gordiichthys leibyi	?	?	?
Gordiichthys ergodes	?	?	?
Gordiichthys randalli	?	?	?
Gordiichthys irretitus	?	?	?
Gordiichthys combibus	?	?	?
Quassiremus nothochir	?	?	?
Quassiremus evionthas	?	?	?
Quassiremus polyclitellum	?	?	?
Quassiremus ascensionis	?	?	?
Phaenomonas longissima	?	?	?
Phaenomonas pinnata	?	?	?
Phaenomonas cooperae	?	?	?
Lethogoleos andersoni	?	?	?
Scytalichthys miurus	?	?	?
Cirricaecula johnsoni	?	?	?
Cirricaecula macdowelli	?	?	?
Kertomichthys blastorhinos	?	?	?
Leptenchelys vermiformis	?	?	?
Cirrhimuraena cheilopogon	?	?	?
Cirrhimuraena chinensis	?	?	?
Cirrhimuraena orientalis	?	?	?
Cirrhimuraena tapeinoptera	?	?	?
Cirrhimuraena paucidens	?	?	?
Cirrhimuraena playfairii	?	?	?
Cirrhimuraena oliveri	?	?	?
Cirrhimuraena yuanding	?	?	?
Cirrhimuraena calamus	?	?	?
Cirrhimuraena inhacae	?	?	?
Xestochilus nebulosus	?	?	?
Dalophis cephalopeltis	?	?	?
Dalophis multidentatus	?	?	?
Dalophis imberbis	?	?	?
Dalophis boulengeri	?	?	?
Dalophis obtusirostris	?	?	?
Yirrkala calyptra	?	?	?
Yirrkala timorensis	?	?	?
Yirrkala tenuis	?	?	?
Yirrkala kaupii	?	?	?
Yirrkala moluccensis	?	?	?
Yirrkala insolitus	?	?	?
Yirrkala gjellerupi	?	?	?
Yirrkala ori	?	?	?
Yirrkala moorei	?	?	?
Yirrkala maculata	?	?	?
Yirrkala misolensis	?	?	?
Yirrkala macrodon	?	?	?
Yirrkala fusca	?	?	?
Yirrkala chaselingi	?	?	?
Bascanichthys pusillus	?	?	?
Bascanichthys sibogae	?	?	?
Bascanichthys filaria	?	?	?
Bascanichthys myersi	?	?	?
Bascanichthys panamensis	?	?	?
Bascanichthys congoensis	?	?	?
Bascanichthys fijiensis	?	?	?
Bascanichthys deraniyagalai	?	?	?
Bascanichthys bascanoides	?	?	?
Bascanichthys scuticaris	?	?	?
Bascanichthys paulensis	?	?	?
Bascanichthys ceciliae	?	?	?
Bascanichthys inopinatus	?	?	?
Bascanichthys bascanium	?	?	?
Bascanichthys cylindricus	?	?	?
Bascanichthys kirkii	?	?	?
Bascanichthys longipinnis	?	?	?
Lamnostoma mindora	?	?	?
Lamnostoma kampeni	?	?	?
Lamnostoma taylori	?	?	?
Lamnostoma orientalis	?	?	?
Lamnostoma polyophthalma	?	?	?
Paraletharchus pacificus	?	?	?
Paraletharchus opercularis	?	?	?
Mystriophis crosnieri	?	?	?
Mystriophis rostellatus	?	?	?
Aprognathodon platyventris	?	?	?
Xyrias multiserialis	?	?	?
Xyrias chioui	?	?	?
Xyrias guineensis	?	?	?
Xyrias revulsus	?	?	?
Ichthyapus acutirostris	?	?	?
Ichthyapus selachops	?	?	?
Ichthyapus omanensis	?	?	?
Ichthyapus acuticeps	?	?	?
Ichthyapus insularis	?	?	?
Ichthyapus vulturis	?	?	?
Ichthyapus platyrhynchus	?	?	?
Ichthyapus ophioneus	?	?	?
Leiuranus versicolor	?	?	?
Leiuranus semicinctus	?	?	?
Pisodonophis sp. CBM ZF 11694	?	?	?
Pisodonophis sp. CBM:ZF:16066	?	?	?
